"","STEM_TAG","TREE_TAG","CENSUS","DATE","QUADRAT","SPECIES","DBH","DBH_YEAR","STATUS","VIGOR","DA","MORT_DATE","DOG_DATE","SC","SNAG_HEIGHT","SNAG_TD","RELATIVE_PLOT_X","RELATIVE_PLOT_Y","SEEDLING_BASAL_DIAM","SEEDLING_HEIGHT","LEANER_ANGLE","BT","DT","RT","SCAR","PITCH","BFB","OTHER_CODES","OTHER_HOM","DIRECTION","NW","FIELD_X","FIELD_Y","UTM_X","UTM_Y","UTM_Z","REMAPPING","PREVIOUS_TAGS","COMMENT","FIELD_1","FIELD_2","FIELD_3","FIELD_4","FIELD_5","UPDATED","DATABASE_HISTORY"
"11","01-0262","01-0262",1,"2015-08-15","F21","PIED",NA,2015,1,1,"A",NA,NA,NA,NA,NA,5.44,11.39,4.4,1.1,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",5.37,12.05,336382.05,4169668.58,3092.36,"","","","Erika Blomdahl","James Lutz","","","","2015-12-14",""
"12","01-0262","01-0262",6,"2020-07-15","F21","PIED",NA,2020,1,1,"A",NA,NA,NA,NA,NA,5.44,11.39,4.7,3.1,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",5.37,12.05,336382.05,4169668.58,3092.36,"","","","Jake Burgoyne","","","","","2020-11-02",""
"13","01-0293","01-0293",1,"2015-08-15","F21","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,6.15,19.2,2.9,1.15,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.03,20.3,336382.76,4169676.39,3094.91,"","","","Erika Blomdahl","James Lutz","","","","2015-12-14",""
"14","01-0293","01-0293",6,"2020-07-15","F21","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.15,19.2,3.6,1.32,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.03,20.3,336382.76,4169676.39,3094.91,"","","","Jake Burgoyne","","","","","2020-11-02",""
"15","01-0300","01-0300",1,"2015-08-15","F21","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,0.12,13.23,1.1,0.38,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",0.04,13.96,336376.73,4169670.42,3092.13,"","","","Erika Blomdahl","James Lutz","","","","2015-12-14",""
"16","01-0300","01-0300",6,"2020-07-15","F21","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,0.12,13.23,1.4,0.44,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",0.04,13.96,336376.73,4169670.42,3092.13,"","","","Jake Burgoyne","","","","","2020-11-02",""
"17","01-0339","01-0339",1,"2015-08-15","F21","PIFL",NA,2015,0,1,"A",2019,NA,NA,NA,NA,7.55,21.06,2.4,1.34,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",7.49,10.66,336384.16,4169678.25,3091.84,"DX.DY in 2018","","","Erika Blomdahl","James Lutz","","","","2015-12-14",""
"18","01-0339","01-0339",6,"2020-07-15","F21","PIFL",NA,2020,0,NA,"A",2019,NA,1,NA,NA,7.55,21.06,3.4,1.41,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",7.49,10.66,336384.16,4169678.25,3091.84,"DX.DY in 2018","","","Jake Burgoyne","","","","","2020-11-02",""
"19","01-0346","01-0346",1,"2015-08-23","M21","PIFL",NA,2015,6,1,"A",2020,NA,NA,NA,NA,2.98,4.66,1.2,0.68,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",2.99,4.73,336379.69,4169801.8,3079.02,"","","Vigor 3 in 2019. Out of order.","Aspen Ward","Alex Chacon","Martin Holdrege","","","2015-12-14",""
"20","01-0346","01-0346",6,"2020-07-20","M21","PIFL",NA,2020,6,NA,"D",2020,NA,1,0.7,0,2.98,4.66,1.2,0.68,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",2.99,4.73,336379.69,4169801.8,3079.02,"","","Out of order.","Caroline Kittle","","","","","2020-11-02",""
"21","01-0356","01-0356",1,"2015-08-25","J21","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,17.12,13.23,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",2.84,13.98,336393.87,4169750.37,3089.55,"","","","Martin Holdrege","Martin Holdrege","Erika Blomdahl","","","2015-12-14",""
"22","01-0356","01-0356",6,"2020-07-20","J21","PIFL",NA,2020,1,2,"A",NA,NA,NA,NA,NA,17.12,13.23,0.9,0.91,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",2.84,13.98,336393.87,4169750.37,3089.55,"","","","Tucker Furniss","","","","","2020-11-02",""
"23","01-0405","01-0405",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.07,5.26,2.2,0.87,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.07,5.42,336577.83,4169677.78,3057.08,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"24","01-0405","01-0405",6,"2020-08-10","G31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.07,5.26,2.7,1.11,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.07,5.42,336577.83,4169677.78,3057.08,"","","","Soren Struckman","","","","","2020-11-02",""
"25","01-0482","01-0482",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,2.33,10.91,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",2.34,11.24,336579.09,4169683.43,3058.15,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"26","01-0482","01-0482",6,"2020-08-05","G31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,2.33,10.91,0.6,0.16,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",2.34,11.24,336579.09,4169683.43,3058.15,"","","","Soren Struckman","","","","","2020-11-02",""
"27","01-0483","01-0483",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.24,14.58,4.2,1.15,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.25,15.02,336578,4169687.1,3059.07,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"28","01-0483","01-0483",6,"2020-08-05","G31","PIFL",0.8,2020,1,1,"A",NA,NA,NA,NA,NA,1.24,14.58,5.5,1.58,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.25,15.02,336578,4169687.1,3059.07,"","","","Soren Struckman","","","","","2020-11-02",""
"29","01-0484","01-0484",1,"2015-08-30","G31","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,1.25,14.64,1.4,0.52,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.26,15.08,336578.01,4169687.16,3059.3,"","","","Aspen Ward","Martin Holdrege","","","","2015-12-14",""
"30","01-0484","01-0484",6,"2020-08-05","G31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,1.25,14.64,1.8,0.6,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",1.26,15.08,336578.01,4169687.16,3059.3,"","","","Soren Struckman","","","","","2020-11-02",""
"31","01-0654","01-0654",1,"2016-08-03","R40","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,3.12,9.03,0.4,0.08,NA,NA,NA,NA,NA,NA,NA,"",NA,"","W",NA,NA,336759.78,4169897.6,3154.99,"","","","James Lutz","Tucker Furniss","","","","2016-09-21",""
"32","01-0654","01-0654",6,"2020-07-13","R40","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,3.12,9.03,0.06,0.14,NA,NA,NA,NA,NA,NA,NA,"",NA,"","W",NA,NA,336759.78,4169897.6,3154.99,"","","","Sara Germain","","","","","2020-11-02",""
"33","01-0658","01-0658",1,"2016-08-03","R41","PILO",NA,2016,1,1,"A",NA,NA,NA,NA,NA,19.54,15.17,2.8,1.08,NA,NA,NA,NA,NA,NA,NA,"",NA,"","W",NA,NA,336796.19,4169903.32,3145.45,"","","","James Lutz","Tucker Furniss","","","","2016-09-21",""
"34","01-0658","01-0658",6,"2020-07-12","R41","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.54,15.17,3.3,1.18,NA,NA,NA,NA,NA,NA,NA,"",NA,"","W",NA,NA,336796.19,4169903.32,3145.45,"","","","James Lutz","","","","","2020-11-02",""
"35","01-0669","01-0669",2,"2016-07-26","U31","PIFL",NA,2016,2,1,"A",NA,NA,NA,NA,NA,5.44,15.95,0.6,0.22,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336582.14,4169968.47,3122.84,"",NA,"","Kendall Becker","","","","","2016-09-18",""
"36","01-0669","01-0669",6,"2020-08-10","U31","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,5.44,15.95,0.6,0.24,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336582.14,4169968.47,3122.84,"","","","Caroline Kittle","","","","","2020-11-02",""
"37","02-0001","02-0001",1,"2015-07-12","H32","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,12.71,13.75,1.3,0.21,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.44,15.18,336609.31,4169705.84,3049.7,"","","Out of order.","Alex Chacon","Joseph Cooper","Aspen Ward","","","2015-12-14",""
"38","02-0001","02-0001",6,"2020-08-04","H32","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,12.71,13.75,1.8,0.35,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.44,15.18,336609.31,4169705.84,3049.7,"","","Out of order.","Lauren Walker","","","","","2020-11-02",""
"39","02-0030","02-0030",1,"2015-07-12","H32","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,13.08,2.66,1.2,0.31,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.09,3.34,336609.68,4169694.75,3046.55,"","","","Alex Chacon","Joseph Cooper","Aspen Ward","","","2015-12-14",""
"40","02-0030","02-0030",6,"2020-08-04","H32","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,13.08,2.66,1.7,0.33,NA,NA,NA,NA,NA,NA,NA,"",NA,"West","W",7.09,3.34,336609.68,4169694.75,3046.55,"","","","Lauren Walker","","","","","2020-11-02",""
"41","02-0037","02-0037",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.09,18.13,0.8,0.35,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.78,4169690.2,3049.3,"","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"42","02-0037","02-0037",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.09,18.13,1.6,0.46,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.78,4169690.2,3049.3,"","","","Lauren Walker","","","","","2020-11-02",""
"43","02-0038","02-0038",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.09,18.15,0.4,0.27,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.78,4169690.22,3049.3,"FROM 02-0037. DN=0.0. DE=0.02.","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"44","02-0038","02-0038",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.09,18.15,1.6,0.47,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.78,4169690.22,3049.3,"FROM 02-0037. DN=0.0. DE=0.02.","","","Lauren Walker","","","","","2020-11-02",""
"45","02-0039","02-0039",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.11,18.16,0.9,0.33,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.8,4169690.23,3049.3,"FROM 02-0037. DN=0.02. DE=0.03.","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"46","02-0039","02-0039",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.11,18.16,1.5,0.5,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.8,4169690.23,3049.3,"FROM 02-0037. DN=0.02. DE=0.03.","","","Lauren Walker","","","","","2020-11-02",""
"47","02-0040","02-0040",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.12,18.15,0.2,0.05,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.81,4169690.22,3049.3,"FROM 02-0037. DN=0.03. DE=0.02.","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"48","02-0040","02-0040",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.12,18.15,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.81,4169690.22,3049.3,"FROM 02-0037. DN=0.03. DE=0.02.","","","Lauren Walker","","","","","2020-11-02",""
"49","02-0041","02-0041",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.1,18.13,0.7,0.3,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.79,4169690.2,3049.3,"FROM 02-0037. DN=0.01. DE=0.0.","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"50","02-0041","02-0041",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.1,18.13,0.8,0.36,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.79,4169690.2,3049.3,"FROM 02-0037. DN=0.01. DE=0.0.","","","Lauren Walker","","","","","2020-11-02",""
"51","02-0042","02-0042",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.12,18.17,0.9,0.34,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.81,4169690.24,3049.3,"FROM 02-0037. DN=0.03. DE=0.04.","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"52","02-0042","02-0042",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.12,18.17,1.6,0.49,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.81,4169690.24,3049.3,"FROM 02-0037. DN=0.03. DE=0.04.","","","Lauren Walker","","","","","2020-11-02",""
"53","02-0043","02-0043",1,"2015-08-17","G32","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,7.9,19.46,4.2,1.11,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336604.59,4169691.53,3049.6,"","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"54","02-0043","02-0043",6,"2020-08-04","G32","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,7.9,19.46,5.7,1.57,NA,NA,NA,NA,NA,NA,NA,"Aphid20",NA,NA,"W",NA,NA,336604.59,4169691.53,3049.6,"","","","Lauren Walker","","","","","2020-11-02",""
"55","02-0044","02-0044",1,"2015-08-17","G32","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,6.48,19.79,3.8,0.79,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336603.17,4169691.86,3050.37,"","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"56","02-0044","02-0044",6,"2020-08-04","G32","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.48,19.79,3.8,1.08,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336603.17,4169691.86,3050.37,"","","","Lauren Walker","","","","","2020-11-02",""
"57","02-0054","02-0054",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.85,18.44,0.6,0.39,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336616.54,4169690.51,3041.19,"","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"58","02-0054","02-0054",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.85,18.44,1.1,0.63,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336616.54,4169690.51,3041.19,"","","","Lauren Walker","","","","","2020-11-02",""
"59","02-0055","02-0055",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.71,18.24,0.5,0.23,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336616.4,4169690.31,3041.19,"","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"60","02-0055","02-0055",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.71,18.24,0.9,0.37,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336616.4,4169690.31,3041.19,"","","","Lauren Walker","","","","","2020-11-02",""
"61","02-0056","02-0056",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,19.68,18.23,0.7,0.28,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336616.37,4169690.3,3041.19,"","","","Tucker Furniss","Aspen Ward","","","","2015-12-14",""
"62","02-0056","02-0056",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,19.68,18.23,1.1,0.48,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"W",NA,NA,336616.37,4169690.3,3041.19,"","","","Lauren Walker","","","","","2020-11-02",""
"63","02-0181","02-0181",1,"2016-08-03","S42","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,6.73,8.54,2.5,1.1,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.73,8.54,336803.41,4169916.24,3163.35,"","","","Sara Germain","Timothy Young","","","","2016-09-21",""
"64","02-0181","02-0181",6,"2020-07-12","S42","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.73,8.54,3,1.2,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.73,8.54,336803.41,4169916.24,3163.35,"","","","Mark Swanson","","","","","2020-11-02",""
"65","02-0182","02-0182",1,"2016-08-03","S42","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,6.77,8.44,3.3,1.3,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.77,8.44,336803.45,4169916.14,3163.35,"","","","Sara Germain","Timothy Young","","","","2016-09-21",""
"66","02-0182","02-0182",6,"2020-07-12","S42","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.77,8.44,3.4,1.5,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.77,8.44,336803.45,4169916.14,3163.35,"","","","Mark Swanson","","","","","2020-11-02",""
"67","02-0183","02-0183",1,"2016-08-03","S42","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,6.85,8.5,2.4,1.2,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.85,8.5,336803.53,4169916.2,3163.35,"","","","Sara Germain","Timothy Young","","","","2016-09-21",""
"68","02-0183","02-0183",6,"2020-07-12","S42","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.85,8.5,2.9,1.4,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.85,8.5,336803.53,4169916.2,3163.35,"","","","Mark Swanson","","","","","2020-11-02",""
"69","02-0184","02-0184",1,"2016-08-03","S42","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,6.8,8.49,2.2,1,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.8,8.49,336803.48,4169916.19,3163.35,"","","","Sara Germain","Timothy Young","","","","2016-09-21",""
"70","02-0184","02-0184",6,"2020-07-12","S42","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,6.8,8.49,2.3,1.2,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",6.8,8.49,336803.48,4169916.19,3163.35,"","","","Mark Swanson","","","","","2020-11-02",""
"71","02-0192","02-0192",1,"2016-08-03","S42","PIFL",NA,2016,1,1,"A",NA,NA,NA,NA,NA,9.94,11.76,2.1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",9.94,11.76,336806.62,4169919.46,3163.35,"","","Out of order.","Sara Germain","Timothy Young","","","","2016-09-21",""
"72","02-0192","02-0192",6,"2020-07-12","S42","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,9.94,11.76,2.1,1.7,NA,NA,NA,NA,NA,NA,NA,"",NA,"East","W",9.94,11.76,336806.62,4169919.46,3163.35,"","","Out of order.","Mark Swanson","","","","","2020-11-02",""
"73","02-0321","02-0321",3,"2017-07-12","V32","PIFL",NA,2017,62,1,"A",2018,2019,NA,NA,NA,13.26,13.08,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336609.96,4169985.15,3136.77,"",NA,"","Sara Germain","Sylvia Tan","Joanne Lim","","","2017-09-14",""
"74","02-0326","02-0326",3,"2017-07-12","Q32","PIFL",NA,2017,2,1,"A",NA,NA,NA,NA,NA,16.54,13.65,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336611.29,4169886.23,3117.37,"DX.DY in 2018",NA,"","Sara Germain","Sylvia Tan","Joanne Lim","","","2017-09-14",""
"75","02-0326","02-0326",6,"2020-08-04","Q32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,16.54,13.65,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336611.29,4169886.23,3117.37,"DX.DY in 2018","","","Isabella Wetzler","Lauren Walker","Jake Burgoyne","","","2020-11-02",""
"76","02-0328","02-0328",3,"2017-07-12","Q32","PILO",NA,2017,0,1,"A",2020,NA,NA,NA,NA,8.53,18.67,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336603.28,4169891.25,3107.51,"Dist.Azm.2018",NA,"","Sara Germain","Sylvia Tan","Joanne Lim","","","2017-09-14",""
"77","02-0337","02-0337",3,"2017-07-12","U32","PIFL",NA,2017,2,1,"A",NA,NA,NA,NA,NA,12.88,12.79,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336609.54,4169964.86,3127.56,"",NA,"","Sara Germain","Sylvia Tan","Joanne Lim","","","2017-09-14",""
"78","02-0337","02-0337",6,"2020-08-10","U32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,12.88,12.79,0.6,0.21,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336609.54,4169964.86,3127.56,"","","","Lauren Walker","","","","","2020-11-02",""
"79","02-0340","02-0340",3,"2017-07-12","P32","PILO",NA,2017,68,1,"A",2018,NA,NA,NA,NA,8.69,4.99,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336605.37,4169857.1,3103.44,"",NA,"Tag collected.","Sara Germain","Sylvia Tan","Joanne Lim","","","2017-09-14",""
"80","02-0359","02-0359",3,"2017-07-12","L32","PIFL",NA,2017,2,1,"A",NA,NA,NA,NA,NA,8.13,1.97,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336604.86,4169774.09,3064.11,"",NA,"False Ing.","Sara Germain","Sylvia Tan","Joanne Lim","","","2017-09-14",""
"81","02-0359","02-0359",6,"2020-08-04","L32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.13,1.97,0.7,0.2,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"W",NA,NA,336604.86,4169774.09,3064.11,"","","","Lauren Walker","","","","","2020-11-02",""
