"STEM_TAG","TREE_TAG","CENSUS","DATE","QUADRAT","SPECIES","DBH","DBH_YEAR","STATUS","VIGOR","DA","MORT_DATE","DOG_DATE","SC","SNAG_HEIGHT","SNAG_TD","RELATIVE_PLOT_X","RELATIVE_PLOT_Y","SEEDLING_BASAL_DIAM","SEEDLING_HEIGHT","LEANER_ANGLE","BT","DT","RT","SCAR","FRASS","PITCH","EE","MT","CONK","NEC","FLAG","SWELL","SPRT","BFB","OTHER_CODES","OTHER_HOM","DIRECTION","NW","FIELD_X","FIELD_Y","REFERENCE","DISTANCE","AZIMUTH","PLOT_X","PLOT_Y","UTM_X","UTM_Y","UTM_Z","REMAPPING","PREVIOUS_TAGS","COMMENT","PLOT","FIELD_1","FIELD_2","FIELD_3","FIELD_4","FIELD_5","DATA_ENTRY_1","DATA_ENTRY_2","DATA_CHECK","CTFS_DA","UPDATED","DNA","CORED","COOKIE","EST_ESTABLISHMENT","DATABASE_HISTORY"
"02-0030","02-0030",1,"2015-07-12","H32","PILO",NA,2015,1,1,"A",NA,NA,NA,NA,NA,13.08,2.66,1.2,0.31,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",7.09,3.34,"",NA,NA,NA,NA,336609.68,4169694.75,3046.55,"","","","UFDP","Alex Chacon","Joseph Cooper","Aspen Ward","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"02-0030","02-0030",6,"2020-08-04","H32","PILO",NA,2020,1,1,"A",NA,NA,NA,NA,NA,13.08,2.66,1.7,0.33,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,"West","W",7.09,3.34,"",NA,NA,NA,NA,336609.68,4169694.75,3046.55,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"02-0037","02-0037",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.09,18.13,0.8,0.35,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"H32",8.4,103,NA,NA,336604.78,4169690.2,3049.3,"","","","UFDP","Tucker Furniss","Aspen Ward","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"02-0037","02-0037",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.09,18.13,1.6,0.46,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"H32",8.4,103,NA,NA,336604.78,4169690.2,3049.3,"","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"02-0038","02-0038",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.09,18.15,0.4,0.27,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.78,4169690.22,3049.3,"FROM 02-0037. DN=0.0. DE=0.02.","","","UFDP","Tucker Furniss","Aspen Ward","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"02-0038","02-0038",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.09,18.15,1.6,0.47,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.78,4169690.22,3049.3,"FROM 02-0037. DN=0.0. DE=0.02.","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"02-0039","02-0039",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.11,18.16,0.9,0.33,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.8,4169690.23,3049.3,"FROM 02-0037. DN=0.02. DE=0.03.","","","UFDP","Tucker Furniss","Aspen Ward","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"02-0039","02-0039",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.11,18.16,1.5,0.5,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.8,4169690.23,3049.3,"FROM 02-0037. DN=0.02. DE=0.03.","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"02-0040","02-0040",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.12,18.15,0.2,0.05,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.81,4169690.22,3049.3,"FROM 02-0037. DN=0.03. DE=0.02.","","","UFDP","Tucker Furniss","Aspen Ward","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
"02-0040","02-0040",6,"2020-08-04","G32","PIFL",NA,2020,1,1,"A",NA,NA,NA,NA,NA,8.12,18.15,0.4,0.1,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.81,4169690.22,3049.3,"FROM 02-0037. DN=0.03. DE=0.02.","","","UFDP","Lauren Walker","","","","","Flat World Solutions","","Caroline Kittle","","2020-11-02",NA,NA,NA,NA,""
"02-0041","02-0041",1,"2015-08-17","G32","PIFL",NA,2015,1,1,"A",NA,NA,NA,NA,NA,8.1,18.13,0.7,0.3,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"W",NA,NA,"",NA,NA,NA,NA,336604.79,4169690.2,3049.3,"FROM 02-0037. DN=0.01. DE=0.0.","","","UFDP","Tucker Furniss","Aspen Ward","","","","Cherydan Onishi","Dawni Jenkins","Tucker Furniss","A","2015-12-14",NA,NA,NA,NA,""
